[02:04:45.366] "<02:04:45.355><11951.984546> \nGenotype received from s3 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s3\"}",
[02:04:45.369] "<02:04:45.361><11957.911269> Genotype sends to s3 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s3\",\"genotype\":6}",
[02:04:45.376] "<02:04:45.362><8107.180000000001> producer s3 received GENOTYPE",
[02:04:45.394] "<02:04:45.361><8106.555> g-proxy s3 receives Genotype g-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s3\",\"genotype\":6}",
[02:04:45.375] "<02:04:45.348><8093.400000000001> \n%%% g-proxy s3 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s3\"}",
[02:04:47.376] "<02:04:47.376><13974.80077> \nGenotype received from s4 {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s4\"}",
[02:04:47.376] "<02:04:47.376><13975.783227> Genotype sends to s4 generated genotype {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s4\",\"genotype\":15}",
[02:04:47.376] "<02:04:47.376><10121.645> \n%%% g-proxy s4 sends to Genotype g-ch msg {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s4\"}",
[02:04:47.376] "<02:04:47.376><10125.32> producer s4 received GENOTYPE",
[02:04:47.376] "<02:04:47.376><10124.630000000001> g-proxy s4 receives Genotype g-ch msg = {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s4\",\"genotype\":15}",
[02:04:49.393] "<02:04:49.393><12138.755000000001> %%% p-proxy s5 sends to Phenotype p-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s5\"}",
[02:04:49.393] "<02:04:49.393><15992.858679> Phenotype received from s5 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s5\"}",
[02:04:49.393] "<02:04:49.393><15994.175728> Phenotype sends to s5 generated phenotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s5\",\"phenotype\":3}",
[02:04:49.403] "<02:04:49.393><12143.020000000002> p-proxy s5 receives Phenotype p-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s5\",\"phenotype\":3}",
[02:04:49.403] "<02:04:49.393><12143.815000000002> producer s5 received PHENOTYPE",
[02:04:51.418] "<02:04:51.418><18016.742044> Phenotype received from s6 {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s6\"}",
[02:04:51.418] "<02:04:51.418><14163.36> %%% p-proxy s6 sends to Phenotype p-ch msg {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s6\"}",
[02:04:51.418] "<02:04:51.418><18017.926441> Phenotype sends to s6 generated phenotype {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s6\",\"phenotype\":30}",
[02:04:51.418] "<02:04:51.418><14166.830000000002> p-proxy s6 receives Phenotype p-ch msg = {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"genotype\":15,\"name\":\"s6\",\"phenotype\":30}",
[02:04:51.418] "<02:04:51.418><14167.375000000002> producer s6 received PHENOTYPE",
[02:07:01.017] "<02:07:01.017><147609.191039> Genotype sends to s9 generated genotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s9\",\"genotype\":6}",
[02:07:01.017] "<02:07:01.017><147608.242337> \nGenotype received from s9 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s9\"}",
[02:07:01.017] "<02:07:01.017><11248.720000000001> \n%%% g-proxy s9 sends to Genotype g-ch msg {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s9\"}",
[02:07:01.027] "<02:07:01.027><11255.75> producer s9 received GENOTYPE",
[02:07:01.064] "<02:07:01.017><11251.275000000001> g-proxy s9 receives Genotype g-ch msg = {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"name\":\"s9\",\"genotype\":6}",
[02:07:03.047] "<02:07:03.047><13275.385000000002> \n%%% g-proxy s10 sends to Genotype g-ch msg {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s10\"}",
[02:07:03.047] "<02:07:03.047><149635.687777> \nGenotype received from s10 {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s10\"}",
[02:07:03.047] "<02:07:03.047><149636.570152> Genotype sends to s10 generated genotype {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s10\",\"genotype\":15}",
[02:07:03.057] "<02:07:03.047><13278.42> g-proxy s10 receives Genotype g-ch msg = {\"axiom\":[3,5],\"g_rule\":\"*\",\"p_rule\":2,\"name\":\"s10\",\"genotype\":15}",
[02:07:03.057] "<02:07:03.047><13282.11> producer s10 received GENOTYPE",
[02:07:05.078] "<02:07:05.078><151666.638439> Phenotype received from s11 {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s11\"}",
[02:07:05.078] "<02:07:05.078><151667.525552> Phenotype sends to s11 generated phenotype {\"axiom\":[2,4],\"g_rule\":\"+\",\"p_rule\":0.5,\"genotype\":6,\"name\":\"s11\",\"phenotype\":3}",
